iso3,year,tenure,share
PRY,2017,owner,0.7910
PRY,2017,tenant,0.1030
PRY,2018,other,0.0960
PRY,2018,owner,0.7950
PRY,2018,tenant,0.1090
PRY,2019,other,0.1000
PRY,2019,owner,0.7830
PRY,2019,tenant,0.1170
PRY,2020,other,0.0910
PRY,2020,owner,0.7980
PRY,2020,tenant,0.1120
PRY,2021,other,0.0920
PRY,2021,owner,0.8000
PRY,2021,tenant,0.1070
PRY,2022,other,0.0840
PRY,2022,owner,0.8040
PRY,2022,tenant,0.1120
PRY,2023,other,0.0810
PRY,2023,owner,0.8070
PRY,2023,tenant,0.1130
PRY,2024,other,0.0830
PRY,2024,owner,0.7950
PRY,2024,tenant,0.1220
SLV,2010,other,0.1940
SLV,2010,owner,0.6840
SLV,2010,tenant,0.1220
SLV,2012,other,0.1860
SLV,2012,owner,0.6800
SLV,2012,tenant,0.1340
SLV,2013,other,0.2010
SLV,2013,owner,0.6640
SLV,2013,tenant,0.1340
SLV,2014,other,0.2210
SLV,2014,owner,0.6400
SLV,2014,tenant,0.1390
SLV,2015,other,0.2290
SLV,2015,owner,0.6370
SLV,2015,tenant,0.1340
SLV,2016,other,0.2090
SLV,2016,owner,0.6540
SLV,2016,tenant,0.1370
SLV,2017,other,0.2130
SLV,2017,owner,0.6570
SLV,2017,tenant,0.1300
SLV,2018,other,0.2100
SLV,2018,owner,0.6570
SLV,2018,tenant,0.1340
SLV,2019,other,0.2190
SLV,2019,owner,0.6500
SLV,2019,tenant,0.1320
SLV,2020,other,0.2170
SLV,2020,owner,0.6260
SLV,2020,tenant,0.1570
SLV,2021,other,0.2270
SLV,2021,owner,0.5920
SLV,2021,tenant,0.1810
SLV,2022,other,0.2360
SLV,2022,owner,0.5950
SLV,2022,tenant,0.1700
SLV,2023,other,0.2290
SLV,2023,owner,0.5980
SLV,2023,tenant,0.1720
URY,2010,other,0.2100
URY,2010,owner,0.6130
URY,2010,tenant,0.1770
URY,2011,other,0.2160
URY,2011,owner,0.5930
URY,2011,tenant,0.1910
URY,2012,other,0.2150
URY,2012,owner,0.5930
URY,2012,tenant,0.1920
URY,2013,other,0.2180
URY,2013,owner,0.6040
URY,2013,tenant,0.1780
URY,2014,other,0.2240
URY,2014,owner,0.5930
URY,2014,tenant,0.1830
URY,2015,other,0.2220
URY,2015,owner,0.5910
URY,2015,tenant,0.1870
URY,2016,other,0.2280
URY,2016,owner,0.5730
URY,2016,tenant,0.1990
URY,2017,other,0.2340
URY,2017,owner,0.5740
URY,2017,tenant,0.1910
URY,2018,other,0.2330
URY,2018,owner,0.5790
URY,2018,tenant,0.1880
URY,2019,other,0.2290
URY,2019,owner,0.5750
URY,2019,tenant,0.1960
URY,2021,other,0.2220
URY,2021,owner,0.5730
URY,2021,tenant,0.2050
URY,2022,other,0.2280
URY,2022,owner,0.5720
URY,2022,tenant,0.2000
URY,2023,other,0.2330
URY,2023,owner,0.5610
URY,2023,tenant,0.2060
URY,2024,other,0.2410
URY,2024,owner,0.5490
URY,2024,tenant,0.2100
VEN,2010,other,0.0800
VEN,2010,owner,0.8380
VEN,2010,tenant,0.0810
VEN,2011,other,0.0920
VEN,2011,owner,0.8210
VEN,2011,tenant,0.0870
VEN,2012,other,0.1010
VEN,2012,owner,0.8170
VEN,2012,tenant,0.0830
VEN,2013,other,0.1010
VEN,2013,owner,0.8230
VEN,2013,tenant,0.0770
VEN,2014,other,0.0980
VEN,2014,owner,0.8240
VEN,2014,tenant,0.0770
