iso3,year,activity,item,value,unit_mult
AUS,2022,G47,N112N,55847,6
AUS,2022,G47,N1131N,16236,6
AUS,2022,G47,N1132N,5485,6
AUS,2022,G47,N117N,5429,6
AUS,2022,G47,N11ON,22408,6
AUS,2022,H,N112N,541411,6
AUS,2022,H,N1131N,84473,6
AUS,2022,H,N1132N,3892,6
AUS,2022,H,N117N,5302,6
AUS,2022,H,N11ON,23717,6
AUS,2022,I,N112N,73922,6
AUS,2022,I,N1131N,5173,6
AUS,2022,I,N1132N,3058,6
AUS,2022,I,N117N,1109,6
AUS,2022,I,N11ON,13271,6
AUS,2022,J,N112N,219275,6
AUS,2022,J,N1131N,1576,6
AUS,2022,J,N1132N,9235,6
AUS,2022,J,N117N,15576,6
AUS,2022,J,N11ON,4043,6
AUS,2022,K,N112N,84644,6
AUS,2022,K,N1131N,13481,6
AUS,2022,K,N1132N,4630,6
AUS,2022,K,N117N,25589,6
AUS,2022,K,N11ON,6577,6
AUS,2022,L,N112N,304348,6
AUS,2022,L,N1131N,32244,6
AUS,2022,L,N1132N,5422,6
AUS,2022,L,N117N,2593,6
AUS,2022,L,N11ON,10506,6
AUS,2022,M,N112N,28919,6
AUS,2022,M,N1131N,11546,6
AUS,2022,M,N1132N,3003,6
AUS,2022,M,N117N,49443,6
AUS,2022,M,N11ON,16234,6
AUS,2022,N,N112N,7185,6
AUS,2022,N,N1131N,3117,6
AUS,2022,N,N1132N,964,6
AUS,2022,N,N117N,3875,6
AUS,2022,N,N11ON,6352,6
AUS,2022,O,N112N,293602,6
AUS,2022,O,N1131N,9723,6
AUS,2022,O,N1132N,5002,6
AUS,2022,O,N117N,14314,6
AUS,2022,O,N11ON,108528,6
AUS,2022,P,N112N,204625,6
AUS,2022,P,N1131N,6851,6
AUS,2022,P,N1132N,2460,6
AUS,2022,P,N117N,10499,6
AUS,2022,P,N11ON,8292,6
AUS,2022,Q,N112N,206462,6
AUS,2022,Q,N1131N,21488,6
AUS,2022,Q,N1132N,4790,6
AUS,2022,Q,N117N,7118,6
AUS,2022,Q,N11ON,12461,6
AUS,2022,R,N112N,84930,6
AUS,2022,R,N1131N,4359,6
AUS,2022,R,N1132N,3163,6
AUS,2022,R,N117N,3065,6
AUS,2022,R,N11ON,2797,6
AUS,2022,S,N112N,16728,6
AUS,2022,S,N1131N,7861,6
AUS,2022,S,N1132N,3701,6
AUS,2022,S,N117N,2918,6
AUS,2022,S,N11ON,3384,6
AUS,2022,_T,N112N,3721233,6
AUS,2022,_T,N1131N,302641,6
AUS,2022,_T,N1132N,122360,6
AUS,2022,_T,N115N,43764,6
AUS,2022,_T,N117N,317986,6
AUS,2022,_T,N11ON,517012,6
AUT,2018,A,N112N,25323.488,6
AUT,2018,A,N1131N,1916.094,6
AUT,2018,A,N1132N,78.234,6
AUT,2018,A,N115N,752.245,6
AUT,2018,A,N117N,53.192,6
AUT,2018,A,N11ON,7186.284,6
AUT,2018,A01,N112N,22746.771,6
AUT,2018,A01,N1131N,1590.215,6
AUT,2018,A01,N1132N,66.13,6
AUT,2018,A01,N115N,752.245,6
AUT,2018,A01,N117N,45.164,6
AUT,2018,A01,N11ON,6708.811,6
AUT,2018,A02,N112N,2297.976,6
AUT,2018,A02,N1131N,325.265,6
AUT,2018,A02,N1132N,9.368,6
AUT,2018,A02,N115N,0,6
AUT,2018,A02,N117N,7.054,6
AUT,2018,A02,N11ON,465.762,6
AUT,2018,A03,N112N,278.741,6
AUT,2018,A03,N1131N,0.615,6
AUT,2018,A03,N1132N,2.737,6
AUT,2018,A03,N115N,0,6
AUT,2018,A03,N117N,0.973,6
AUT,2018,A03,N11ON,11.711,6
AUT,2018,B,N112N,1061.79,6
AUT,2018,B,N1131N,98.132,6
AUT,2018,B,N1132N,7.758,6
AUT,2018,B,N115N,0,6
AUT,2018,B,N117N,88.907,6
AUT,2018,B,N11ON,1860.147,6
AUT,2018,C,N112N,38381.42,6
AUT,2018,C,N1131N,1268.979,6
AUT,2018,C,N1132N,2525.272,6
AUT,2018,C,N115N,0,6
AUT,2018,C,N117N,33061.151,6
AUT,2018,C,N11ON,41317.853,6
AUT,2018,C10T12,N112N,5895.214,6
AUT,2018,C10T12,N1131N,253.083,6
AUT,2018,C10T12,N1132N,126.263,6
AUT,2018,C10T12,N115N,0,6
AUT,2018,C10T12,N117N,685.427,6
AUT,2018,C10T12,N11ON,3747.645,6
AUT,2018,C13T15,N112N,1190.773,6
AUT,2018,C13T15,N1131N,19.508,6
AUT,2018,C13T15,N1132N,23.213,6
AUT,2018,C13T15,N115N,0,6
AUT,2018,C13T15,N117N,207.917,6
AUT,2018,C13T15,N11ON,769.198,6
AUT,2018,C16,N112N,2579.064,6
AUT,2018,C16,N1131N,166.585,6
AUT,2018,C16,N1132N,71.625,6
AUT,2018,C16,N115N,0,6
AUT,2018,C16,N117N,233.79,6
AUT,2018,C16,N11ON,1939.587,6
AUT,2018,C16T18,N112N,4977.661,6
AUT,2018,C16T18,N1131N,206.986,6
AUT,2018,C16T18,N1132N,355.658,6
AUT,2018,C16T18,N115N,0,6
AUT,2018,C16T18,N117N,711.462,6
AUT,2018,C16T18,N11ON,7257.666,6
AUT,2018,C17,N112N,1648.125,6
AUT,2018,C17,N1131N,28.212,6
AUT,2018,C17,N1132N,193.892,6
AUT,2018,C17,N115N,0,6
AUT,2018,C17,N117N,279.279,6
AUT,2018,C17,N11ON,2716.803,6
AUT,2018,C18,N112N,750.472,6
AUT,2018,C18,N1131N,12.189,6
AUT,2018,C18,N1132N,90.141,6
AUT,2018,C18,N115N,0,6
AUT,2018,C18,N117N,198.393,6
AUT,2018,C18,N11ON,2601.276,6
AUT,2018,C19,N112N,359.997,6
AUT,2018,C19,N1131N,0.984,6
AUT,2018,C19,N1132N,4.682,6
AUT,2018,C19,N115N,0,6
AUT,2018,C19,N117N,104.527,6
AUT,2018,C19,N11ON,1200.722,6
AUT,2018,C20,N112N,1996.978,6
AUT,2018,C20,N1131N,42.954,6
AUT,2018,C20,N1132N,255.604,6
AUT,2018,C20,N115N,0,6
AUT,2018,C20,N117N,1464.621,6
AUT,2018,C20,N11ON,2213.161,6
AUT,2018,C21,N112N,2536.834,6
AUT,2018,C21,N1131N,10.087,6
AUT,2018,C21,N1132N,267.685,6
AUT,2018,C21,N115N,0,6
AUT,2018,C21,N117N,2109.62,6
AUT,2018,C21,N11ON,956.452,6
AUT,2018,C22,N112N,1442.65,6
AUT,2018,C22,N1131N,36.984,6
AUT,2018,C22,N1132N,103.05,6
AUT,2018,C22,N115N,0,6
AUT,2018,C22,N117N,1210.468,6
AUT,2018,C22,N11ON,2387.496,6
AUT,2018,C22_23,N112N,4147.452,6
AUT,2018,C22_23,N1131N,207.985,6
AUT,2018,C22_23,N1132N,224.805,6
AUT,2018,C22_23,N115N,0,6
AUT,2018,C22_23,N117N,2055.657,6
AUT,2018,C22_23,N11ON,4872.957,6
AUT,2018,C23,N112N,2704.802,6
AUT,2018,C23,N1131N,171,6
AUT,2018,C23,N1132N,121.755,6
AUT,2018,C23,N115N,0,6
AUT,2018,C23,N117N,845.189,6
