iso3,year,measure,sex,value
FRA,2024,pension_age,F,64.3
FRA,2024,pension_age,M,64.3
FRA,2024,replacement_rate,F,56.6
FRA,2024,replacement_rate,M,56.6
GBR,2014,occupational_income,_Z,29.9
GBR,2014,public_income,_Z,43
GBR,2016,occupational_income,_Z,28.6
GBR,2016,public_income,_Z,42.6
GBR,2018,occupational_income,_Z,30.1
GBR,2018,public_income,_Z,42.8
GBR,2020,occupational_income,_Z,32.6
GBR,2020,public_income,_Z,41.9
GBR,2022,occupational_income,_Z,29.7
GBR,2022,public_income,_Z,42.5
GBR,2024,pension_age,F,66
GBR,2024,pension_age,M,66
GBR,2024,replacement_rate,F,44.7
GBR,2024,replacement_rate,M,44.7
GRC,2014,occupational_income,_Z,0
GRC,2014,public_income,_Z,77.4
GRC,2016,occupational_income,_Z,0
GRC,2016,public_income,_Z,75.8
GRC,2018,occupational_income,_Z,0
GRC,2018,public_income,_Z,75.8
GRC,2020,occupational_income,_Z,0
GRC,2020,public_income,_Z,74.5
GRC,2022,occupational_income,_Z,0
GRC,2022,public_income,_Z,75.7
GRC,2024,pension_age,F,62
GRC,2024,pension_age,M,62
GRC,2024,replacement_rate,F,79.6
GRC,2024,replacement_rate,M,79.6
HRV,2024,pension_age,F,63.5
HRV,2024,pension_age,M,65
HRV,2024,replacement_rate,F,35.7
HRV,2024,replacement_rate,M,35.7
HUN,2014,occupational_income,_Z,0
HUN,2014,public_income,_Z,89
HUN,2016,occupational_income,_Z,0
HUN,2016,public_income,_Z,78.7
HUN,2018,occupational_income,_Z,0
HUN,2018,public_income,_Z,73
HUN,2020,occupational_income,_Z,0
HUN,2020,public_income,_Z,73
HUN,2022,occupational_income,_Z,0
HUN,2022,public_income,_Z,67.3
HUN,2024,pension_age,F,62
HUN,2024,pension_age,M,65
HUN,2024,replacement_rate,F,48.4
HUN,2024,replacement_rate,M,51.9
IDN,2024,pension_age,F,58
IDN,2024,pension_age,M,58
IDN,2024,replacement_rate,F,50.7
IDN,2024,replacement_rate,M,53.4
IND,2024,pension_age,F,58
IND,2024,pension_age,M,58
IND,2024,replacement_rate,F,38.1
IND,2024,replacement_rate,M,39.2
IRL,2014,occupational_income,_Z,0
IRL,2014,public_income,_Z,78.5
IRL,2016,occupational_income,_Z,0
IRL,2016,public_income,_Z,76.7
IRL,2018,occupational_income,_Z,0
IRL,2018,public_income,_Z,76.1
IRL,2020,occupational_income,_Z,0
IRL,2020,public_income,_Z,72.6
IRL,2022,occupational_income,_Z,0
IRL,2022,public_income,_Z,64.3
IRL,2024,pension_age,F,66
IRL,2024,pension_age,M,66
IRL,2024,replacement_rate,F,24.3
IRL,2024,replacement_rate,M,24.3
ISL,2014,occupational_income,_Z,0
ISL,2014,public_income,_Z,68.1
ISL,2016,occupational_income,_Z,0
ISL,2016,public_income,_Z,58.6
ISL,2018,occupational_income,_Z,0
ISL,2018,public_income,_Z,58.1
ISL,2020,occupational_income,_Z,0
ISL,2020,public_income,_Z,58.1
ISL,2022,occupational_income,_Z,0
ISL,2022,public_income,_Z,58.1
ISL,2024,pension_age,F,67
ISL,2024,pension_age,M,67
ISL,2024,replacement_rate,F,43.9
ISL,2024,replacement_rate,M,43.9
ISR,2014,occupational_income,_Z,30.3
