iso3,year,measure,share
FIN,2024,rent_burden,0.305992
FRA,2010,rent_burden,0.210580
FRA,2011,rent_burden,0.216000
FRA,2012,rent_burden,0.216393
FRA,2013,rent_burden,0.215841
FRA,2014,rent_burden,0.220873
FRA,2015,mortgage_burden,0.217859
FRA,2015,rent_burden,0.221467
FRA,2016,mortgage_burden,0.221202
FRA,2016,rent_burden,0.219895
FRA,2017,mortgage_burden,0.214828
FRA,2017,rent_burden,0.216891
FRA,2018,mortgage_burden,0.223599
FRA,2018,rent_burden,0.217918
FRA,2019,mortgage_burden,0.220222
FRA,2019,rent_burden,0.223319
FRA,2020,mortgage_burden,0.193893
FRA,2020,rent_burden,0.214263
FRA,2022,mortgage_burden,0.195566
FRA,2022,rent_burden,0.228121
FRA,2023,mortgage_burden,0.186346
FRA,2023,rent_burden,0.220616
FRA,2024,mortgage_burden,0.180530
FRA,2024,rent_burden,0.217692
GBR,2010,mortgage_burden,0.175500
GBR,2010,rent_burden,0.263145
GBR,2011,mortgage_burden,0.170576
GBR,2011,rent_burden,0.247211
GBR,2012,mortgage_burden,0.163989
GBR,2012,rent_burden,0.246171
GBR,2013,mortgage_burden,0.165143
GBR,2013,rent_burden,0.250231
GBR,2014,mortgage_burden,0.164835
GBR,2014,rent_burden,0.250740
GBR,2015,mortgage_burden,0.162333
GBR,2015,rent_burden,0.243383
GBR,2016,mortgage_burden,0.163644
GBR,2016,rent_burden,0.242302
GBR,2017,mortgage_burden,0.163501
GBR,2017,rent_burden,0.241465
GBR,2018,mortgage_burden,0.163126
GBR,2018,rent_burden,0.244565
GBR,2019,mortgage_burden,0.161812
GBR,2019,rent_burden,0.239760
GBR,2020,mortgage_burden,0.163770
GBR,2020,rent_burden,0.240857
GBR,2021,mortgage_burden,0.164436
GBR,2021,rent_burden,0.234320
GBR,2022,mortgage_burden,0.169850
GBR,2022,rent_burden,0.230398
GRC,2010,mortgage_burden,0.138858
GRC,2010,rent_burden,0.248276
GRC,2011,mortgage_burden,0.167054
GRC,2011,rent_burden,0.245070
GRC,2012,mortgage_burden,0.200185
GRC,2012,rent_burden,0.270000
GRC,2013,mortgage_burden,0.207234
GRC,2013,rent_burden,0.282155
GRC,2014,mortgage_burden,0.201262
GRC,2014,rent_burden,0.275862
