industry,asset,year,value
2120,EP1A,2024,6.0
2120,EP1B,2023,44.0
2120,EP1B,2024,44.0
2120,EP1C,2023,0.0
2120,EP1C,2024,0.0
2120,EP1D,2023,4.0
2120,EP1D,2024,5.0
2120,EP1E,2023,9.0
2120,EP1E,2024,9.0
2120,EP1F,2023,0.0
2120,EP1F,2024,0.0
2120,EP1G,2023,2.0
2120,EP1G,2024,2.0
2120,EP1H,2023,50.0
2120,EP1H,2024,51.0
2120,EP20,2023,372.0
2120,EP20,2024,389.0
2120,EP31,2023,12.0
2120,EP31,2024,12.0
2120,EP34,2023,0.0
2120,EP34,2024,0.0
2120,EP35,2023,4.0
2120,EP35,2024,4.0
2120,EP36,2023,374.0
2120,EP36,2024,362.0
2120,EQ00,2023,55760.0
2120,EQ00,2024,56873.0
2120,ET11,2023,1292.0
2120,ET11,2024,1363.0
2120,ET12,2023,1192.0
2120,ET12,2024,1181.0
2120,ET20,2023,156.0
2120,ET20,2024,144.0
2120,ET30,2023,98.0
2120,ET30,2024,104.0
2120,ET40,2023,858.0
2120,ET40,2024,908.0
2120,ET50,2023,393.0
2120,ET50,2024,399.0
2120,IP00,2023,5301.0
2120,IP00,2024,6011.0
2120,RD11,2023,0.0
2120,RD11,2024,0.0
2120,RD12,2023,0.0
2120,RD12,2024,0.0
2120,RD21,2023,0.0
2120,RD21,2024,0.0
2120,RD22,2023,0.0
2120,RD22,2024,0.0
2120,RD23,2023,0.0
2120,RD23,2024,0.0
2120,RD24,2023,0.0
2120,RD24,2024,0.0
2120,RD25,2023,0.0
2120,RD25,2024,0.0
2120,RD31,2023,0.0
2120,RD31,2024,0.0
2120,RD32,2023,0.0
2120,RD32,2024,0.0
2120,RD40,2023,0.0
2120,RD40,2024,0.0
2120,RD50,2023,0.0
2120,RD50,2024,0.0
2120,RD60,2023,0.0
2120,RD60,2024,0.0
2120,RD70,2023,0.0
2120,RD70,2024,0.0
2120,RD80,2023,4993.0
2120,RD80,2024,5669.0
2120,RD91,2023,0.0
2120,RD91,2024,0.0
2120,RD92,2023,0.0
2120,RD92,2024,0.0
2120,RDOM,2023,0.0
2120,RDOM,2024,0.0
2120,SB10,2023,0.0
2120,SB10,2024,0.0
2120,SB20,2023,0.0
2120,SB20,2024,0.0
2120,SB31,2023,0.0
2120,SB31,2024,0.0
2120,SB32,2023,0.0
2120,SB32,2024,0.0
2120,SB41,2023,0.0
2120,SB41,2024,0.0
2120,SB42,2023,0.0
2120,SB42,2024,0.0
2120,SB43,2023,206.0
2120,SB43,2024,251.0
2120,SB44,2023,0.0
2120,SB44,2024,0.0
2120,SB45,2023,0.0
2120,SB45,2024,0.0
2120,SB46,2023,64.0
2120,SB46,2024,70.0
2120,SC01,2023,1903.0
2120,SC01,2024,2125.0
2120,SC02,2023,391.0
2120,SC02,2024,407.0
2120,SC03,2023,0.0
2120,SC03,2024,0.0
2120,SC04,2023,0.0
2120,SC04,2024,0.0
2120,SI00,2023,60299.0
2120,SI00,2024,65463.0
2120,SM01,2023,165.0
2120,SM01,2024,181.0
2120,SM02,2023,172240.0
2120,SM02,2024,179779.0
2120,SN00,2023,0.0
2120,SN00,2024,0.0
2120,SO01,2023,1652.0
2120,SO01,2024,1638.0
2120,SO02,2023,208.0
2120,SO02,2024,212.0
2120,SO03,2023,2597.0
2120,SO03,2024,2813.0
2120,SO04,2023,1186.0
2120,SO04,2024,1207.0
2120,SOMO,2023,607.0
2120,SOMO,2024,598.0
2120,SOO1,2023,3942.0
2120,SOO1,2024,3969.0
2120,SOO2,2023,0.0
2120,SOO2,2024,0.0
2120,ST00,2023,248713.0
2120,ST00,2024,261812.0
2120,SU11,2023,6.0
2120,SU11,2024,7.0
2120,SU12,2023,28.0
2120,SU12,2024,32.0
2120,SU20,2023,9.0
2120,SU20,2024,11.0
2120,SU30,2023,1084.0
2120,SU30,2024,1007.0
2120,SU40,2023,1492.0
