industry,asset,year,value
110C,RD25,2024,0.0
110C,RD31,2015,0.0
110C,RD31,2016,0.0
110C,RD31,2017,0.0
110C,RD31,2018,0.0
110C,RD31,2019,0.0
110C,RD31,2020,0.0
110C,RD31,2021,0.0
110C,RD31,2022,0.0
110C,RD31,2023,0.0
110C,RD31,2024,0.0
110C,RD32,2015,0.0
110C,RD32,2016,0.0
110C,RD32,2017,0.0
110C,RD32,2018,0.0
110C,RD32,2019,0.0
110C,RD32,2020,0.0
110C,RD32,2021,0.0
110C,RD32,2022,0.0
110C,RD32,2023,0.0
110C,RD32,2024,0.0
110C,RD40,2015,0.0
110C,RD40,2016,0.0
110C,RD40,2017,0.0
110C,RD40,2018,0.0
110C,RD40,2019,0.0
110C,RD40,2020,0.0
110C,RD40,2021,0.0
110C,RD40,2022,0.0
110C,RD40,2023,0.0
110C,RD40,2024,0.0
110C,RD50,2015,0.0
110C,RD50,2016,0.0
110C,RD50,2017,0.0
110C,RD50,2018,0.0
110C,RD50,2019,0.0
110C,RD50,2020,0.0
110C,RD50,2021,0.0
110C,RD50,2022,0.0
110C,RD50,2023,0.0
110C,RD50,2024,0.0
110C,RD60,2015,0.0
110C,RD60,2016,0.0
110C,RD60,2017,0.0
110C,RD60,2018,0.0
110C,RD60,2019,0.0
110C,RD60,2020,0.0
110C,RD60,2021,0.0
110C,RD60,2022,0.0
110C,RD60,2023,0.0
110C,RD60,2024,0.0
110C,RD70,2015,0.0
110C,RD70,2016,0.0
110C,RD70,2017,0.0
110C,RD70,2018,0.0
110C,RD70,2019,0.0
110C,RD70,2020,0.0
110C,RD70,2021,0.0
110C,RD70,2022,0.0
110C,RD70,2023,0.0
110C,RD70,2024,0.0
110C,RD80,2015,0.0
110C,RD80,2016,0.0
110C,RD80,2017,0.0
110C,RD80,2018,0.0
110C,RD80,2019,0.0
110C,RD80,2020,0.0
110C,RD80,2021,0.0
110C,RD80,2022,0.0
110C,RD80,2023,0.0
110C,RD80,2024,0.0
110C,RD91,2015,0.0
110C,RD91,2016,0.0
110C,RD91,2017,0.0
110C,RD91,2018,0.0
110C,RD91,2019,0.0
110C,RD91,2020,0.0
110C,RD91,2021,0.0
110C,RD91,2022,0.0
110C,RD91,2023,0.0
110C,RD91,2024,0.0
110C,RD92,2015,0.0
110C,RD92,2016,0.0
110C,RD92,2017,0.0
110C,RD92,2018,0.0
110C,RD92,2019,0.0
110C,RD92,2020,0.0
110C,RD92,2021,0.0
110C,RD92,2022,0.0
110C,RD92,2023,0.0
110C,RD92,2024,0.0
110C,RDOM,2015,0.0
110C,RDOM,2016,0.0
110C,RDOM,2017,0.0
110C,RDOM,2018,0.0
110C,RDOM,2019,0.0
110C,RDOM,2020,0.0
110C,RDOM,2021,0.0
110C,RDOM,2022,0.0
110C,RDOM,2023,0.0
110C,RDOM,2024,0.0
110C,SB10,2015,0.0
110C,SB10,2016,0.0
110C,SB10,2017,0.0
110C,SB10,2018,0.0
110C,SB10,2019,0.0
110C,SB10,2020,0.0
110C,SB10,2021,0.0
110C,SB10,2022,0.0
110C,SB10,2023,0.0
110C,SB10,2024,0.0
110C,SB20,2015,0.0
110C,SB20,2016,0.0
110C,SB20,2017,0.0
110C,SB20,2018,0.0
110C,SB20,2019,0.0
110C,SB20,2020,0.0
110C,SB20,2021,0.0
110C,SB20,2022,0.0
110C,SB20,2023,0.0
110C,SB20,2024,0.0
110C,SB31,2015,0.0
110C,SB31,2016,0.0
110C,SB31,2017,0.0
110C,SB31,2018,0.0
110C,SB31,2019,0.0
110C,SB31,2020,0.0
110C,SB31,2021,0.0
110C,SB31,2022,0.0
110C,SB31,2023,0.0
110C,SB31,2024,0.0
110C,SB32,2015,0.0
110C,SB32,2016,0.0
110C,SB32,2017,0.0
110C,SB32,2018,0.0
110C,SB32,2019,0.0
110C,SB32,2020,0.0
110C,SB32,2021,0.0
110C,SB32,2022,0.0
110C,SB32,2023,0.0
110C,SB32,2024,0.0
110C,SB41,2015,0.0
110C,SB41,2016,0.0
110C,SB41,2017,0.0
110C,SB41,2018,0.0
110C,SB41,2019,0.0
110C,SB41,2020,0.0
110C,SB41,2021,0.0
110C,SB41,2022,0.0
110C,SB41,2023,0.0
110C,SB41,2024,0.0
110C,SB42,2015,0.0
110C,SB42,2016,0.0
110C,SB42,2017,0.0
110C,SB42,2018,0.0
110C,SB42,2019,0.0
110C,SB42,2020,0.0
110C,SB42,2021,0.0
110C,SB42,2022,0.0
110C,SB42,2023,0.0
110C,SB42,2024,0.0
110C,SB43,2015,0.0
110C,SB43,2016,0.0
110C,SB43,2017,0.0
110C,SB43,2018,0.0
110C,SB43,2019,0.0
110C,SB43,2020,0.0
110C,SB43,2021,0.0
110C,SB43,2022,0.0
110C,SB43,2023,0.0
110C,SB43,2024,0.0
110C,SB44,2015,0.0
110C,SB44,2016,0.0
110C,SB44,2017,0.0
110C,SB44,2018,0.0
110C,SB44,2019,0.0
110C,SB44,2020,0.0
110C,SB44,2021,0.0
110C,SB44,2022,0.0
110C,SB44,2023,0.0
110C,SB44,2024,0.0
110C,SB45,2015,0.0
110C,SB45,2016,0.0
110C,SB45,2017,0.0
110C,SB45,2018,0.0
110C,SB45,2019,0.0
110C,SB45,2020,0.0
110C,SB45,2021,0.0
110C,SB45,2022,0.0
110C,SB45,2023,0.0
110C,SB45,2024,0.0
110C,SB46,2015,0.0
110C,SB46,2016,0.0
110C,SB46,2017,0.0
110C,SB46,2018,0.0
110C,SB46,2019,0.0
110C,SB46,2020,0.0
110C,SB46,2021,0.0
110C,SB46,2022,0.0
110C,SB46,2023,0.0
110C,SB46,2024,0.0
110C,SC01,2015,0.0
110C,SC01,2016,0.0
110C,SC01,2017,0.0
110C,SC01,2018,0.0
110C,SC01,2019,0.0
110C,SC01,2020,0.0
110C,SC01,2021,0.0
110C,SC01,2022,0.0
110C,SC01,2023,0.0
110C,SC01,2024,0.0
110C,SC02,2015,0.0
110C,SC02,2016,0.0
110C,SC02,2017,0.0
110C,SC02,2018,0.0
110C,SC02,2019,0.0
110C,SC02,2020,0.0
110C,SC02,2021,0.0
110C,SC02,2022,0.0
110C,SC02,2023,0.0
110C,SC02,2024,0.0
110C,SC03,2015,0.0
110C,SC03,2016,0.0
110C,SC03,2017,0.0
110C,SC03,2018,0.0
110C,SC03,2019,0.0
110C,SC03,2020,0.0
110C,SC03,2021,0.0
110C,SC03,2022,0.0
110C,SC03,2023,0.0
110C,SC03,2024,0.0
110C,SC04,2015,0.0
110C,SC04,2016,0.0
110C,SC04,2017,0.0
110C,SC04,2018,0.0
110C,SC04,2019,0.0
110C,SC04,2020,0.0
110C,SC04,2021,0.0
110C,SC04,2022,0.0
110C,SC04,2023,0.0
110C,SC04,2024,0.0
110C,SI00,2015,0.0
110C,SI00,2016,0.0
110C,SI00,2017,0.0
110C,SI00,2018,0.0
110C,SI00,2019,0.0
110C,SI00,2020,0.0
110C,SI00,2021,0.0
110C,SI00,2022,0.0
110C,SI00,2023,0.0
110C,SI00,2024,0.0
110C,SM01,2015,0.0
110C,SM01,2016,0.0
110C,SM01,2017,0.0
110C,SM01,2018,0.0
110C,SM01,2019,0.0
110C,SM01,2020,0.0
110C,SM01,2021,0.0
110C,SM01,2022,0.0
110C,SM01,2023,0.0
110C,SM01,2024,0.0
110C,SM02,2015,0.0
110C,SM02,2016,0.0
110C,SM02,2017,0.0
110C,SM02,2018,0.0
110C,SM02,2019,0.0
110C,SM02,2020,0.0
110C,SM02,2021,0.0
110C,SM02,2022,0.0
110C,SM02,2023,0.0
110C,SM02,2024,0.0
110C,SN00,2015,6128.0
110C,SN00,2016,5009.0
110C,SN00,2017,5470.0
110C,SN00,2018,3343.0
110C,SN00,2019,4433.0
110C,SN00,2020,4400.0
110C,SN00,2021,4326.0
110C,SN00,2022,6625.0
110C,SN00,2023,7373.0
110C,SN00,2024,7458.0
110C,SO01,2015,0.0
110C,SO01,2016,0.0
110C,SO01,2017,0.0
110C,SO01,2018,0.0
110C,SO01,2019,0.0
110C,SO01,2020,0.0
110C,SO01,2021,0.0
110C,SO01,2022,0.0
110C,SO01,2023,0.0
110C,SO01,2024,0.0
110C,SO02,2015,0.0
110C,SO02,2016,0.0
110C,SO02,2017,0.0
110C,SO02,2018,0.0
110C,SO02,2019,0.0
110C,SO02,2020,0.0
110C,SO02,2021,0.0
110C,SO02,2022,0.0
110C,SO02,2023,0.0
110C,SO02,2024,0.0
110C,SO03,2015,0.0
110C,SO03,2016,0.0
110C,SO03,2017,0.0
110C,SO03,2018,0.0
110C,SO03,2019,0.0
110C,SO03,2020,0.0
110C,SO03,2021,0.0
110C,SO03,2022,0.0
110C,SO03,2023,0.0
110C,SO03,2024,0.0
110C,SO04,2015,0.0
110C,SO04,2016,0.0
110C,SO04,2017,0.0
110C,SO04,2018,0.0
110C,SO04,2019,0.0
110C,SO04,2020,0.0
110C,SO04,2021,0.0
110C,SO04,2022,0.0
110C,SO04,2023,0.0
110C,SO04,2024,0.0
110C,SOMO,2015,0.0
110C,SOMO,2016,0.0
110C,SOMO,2017,0.0
110C,SOMO,2018,0.0
110C,SOMO,2019,0.0
110C,SOMO,2020,0.0
110C,SOMO,2021,0.0
110C,SOMO,2022,0.0
110C,SOMO,2023,0.0
110C,SOMO,2024,0.0
110C,SOO1,2015,0.0
110C,SOO1,2016,0.0
110C,SOO1,2017,0.0
110C,SOO1,2018,0.0
110C,SOO1,2019,0.0
110C,SOO1,2020,0.0
110C,SOO1,2021,0.0
110C,SOO1,2022,0.0
110C,SOO1,2023,0.0
110C,SOO1,2024,0.0
110C,SOO2,2015,0.0
110C,SOO2,2016,0.0
110C,SOO2,2017,0.0
110C,SOO2,2018,0.0
110C,SOO2,2019,0.0
110C,SOO2,2020,0.0
110C,SOO2,2021,0.0
110C,SOO2,2022,0.0
110C,SOO2,2023,0.0
110C,SOO2,2024,0.0
110C,ST00,2015,8969.0
110C,ST00,2016,8829.0
110C,ST00,2017,10062.0
110C,ST00,2018,6541.0
110C,ST00,2019,8174.0
110C,ST00,2020,9174.0
110C,ST00,2021,9778.0
110C,ST00,2022,12752.0
110C,ST00,2023,15728.0
110C,ST00,2024,16765.0
110C,SU11,2015,0.0
110C,SU11,2016,0.0
110C,SU11,2017,0.0
110C,SU11,2018,0.0
110C,SU11,2019,0.0
110C,SU11,2020,0.0
110C,SU11,2021,0.0
110C,SU11,2022,0.0
110C,SU11,2023,0.0
110C,SU11,2024,0.0
110C,SU12,2015,0.0
110C,SU12,2016,0.0
110C,SU12,2017,0.0
110C,SU12,2018,0.0
110C,SU12,2019,0.0
110C,SU12,2020,0.0
110C,SU12,2021,0.0
110C,SU12,2022,0.0
110C,SU12,2023,0.0
110C,SU12,2024,0.0
110C,SU20,2015,0.0
110C,SU20,2016,0.0
110C,SU20,2017,0.0
110C,SU20,2018,0.0
110C,SU20,2019,0.0
110C,SU20,2020,0.0
110C,SU20,2021,0.0
110C,SU20,2022,0.0
110C,SU20,2023,0.0
110C,SU20,2024,0.0
110C,SU30,2015,0.0
110C,SU30,2016,0.0
110C,SU30,2017,0.0
110C,SU30,2018,0.0
110C,SU30,2019,0.0
110C,SU30,2020,0.0
110C,SU30,2021,0.0
110C,SU30,2022,0.0
110C,SU30,2023,0.0
110C,SU30,2024,0.0
110C,SU40,2015,0.0
110C,SU40,2016,0.0
110C,SU40,2017,0.0
110C,SU40,2018,0.0
110C,SU40,2019,0.0
110C,SU40,2020,0.0
110C,SU40,2021,0.0
110C,SU40,2022,0.0
110C,SU40,2023,0.0
110C,SU40,2024,0.0
110C,SU50,2015,0.0
110C,SU50,2016,0.0
110C,SU50,2017,0.0
110C,SU50,2018,0.0
110C,SU50,2019,0.0
110C,SU50,2020,0.0
110C,SU50,2021,0.0
110C,SU50,2022,0.0
110C,SU50,2023,0.0
