industry,asset,year,value
2130,EP1C,2024,0.0
2130,EP1D,2023,3.0
2130,EP1D,2024,3.0
2130,EP1E,2023,5.0
2130,EP1E,2024,5.0
2130,EP1F,2023,0.0
2130,EP1F,2024,0.0
2130,EP1G,2023,2.0
2130,EP1G,2024,2.0
2130,EP1H,2023,44.0
2130,EP1H,2024,47.0
2130,EP20,2023,47.0
2130,EP20,2024,46.0
2130,EP31,2023,12.0
2130,EP31,2024,11.0
2130,EP34,2023,0.0
2130,EP34,2024,0.0
2130,EP35,2023,2.0
2130,EP35,2024,2.0
2130,EP36,2023,48.0
2130,EP36,2024,46.0
2130,EQ00,2023,10975.0
2130,EQ00,2024,11014.0
2130,ET11,2023,494.0
2130,ET11,2024,508.0
2130,ET12,2023,763.0
2130,ET12,2024,763.0
2130,ET20,2023,42.0
2130,ET20,2024,39.0
2130,ET30,2023,8.0
2130,ET30,2024,7.0
2130,ET40,2023,1199.0
2130,ET40,2024,1207.0
2130,ET50,2023,0.0
2130,ET50,2024,0.0
2130,IP00,2023,985.0
2130,IP00,2024,1107.0
2130,RD11,2023,0.0
2130,RD11,2024,0.0
2130,RD12,2023,0.0
2130,RD12,2024,0.0
2130,RD21,2023,0.0
2130,RD21,2024,0.0
2130,RD22,2023,0.0
2130,RD22,2024,0.0
2130,RD23,2023,0.0
2130,RD23,2024,0.0
2130,RD24,2023,0.0
2130,RD24,2024,0.0
2130,RD25,2023,0.0
2130,RD25,2024,0.0
2130,RD31,2023,0.0
2130,RD31,2024,0.0
2130,RD32,2023,0.0
2130,RD32,2024,0.0
2130,RD40,2023,0.0
2130,RD40,2024,0.0
2130,RD50,2023,0.0
2130,RD50,2024,0.0
2130,RD60,2023,0.0
2130,RD60,2024,0.0
2130,RD70,2023,0.0
2130,RD70,2024,0.0
2130,RD80,2023,529.0
2130,RD80,2024,595.0
2130,RD91,2023,0.0
2130,RD91,2024,0.0
2130,RD92,2023,0.0
2130,RD92,2024,0.0
2130,RDOM,2023,0.0
2130,RDOM,2024,0.0
2130,SB10,2023,0.0
2130,SB10,2024,0.0
2130,SB20,2023,0.0
2130,SB20,2024,0.0
2130,SB31,2023,0.0
2130,SB31,2024,0.0
2130,SB32,2023,0.0
2130,SB32,2024,0.0
2130,SB41,2023,0.0
2130,SB41,2024,0.0
2130,SB42,2023,0.0
