iso3,year,source,catalog,mean_size,size_1,size_2_3,size_4_5,size_6_plus,one_person,couple_only,couple_children,single_parent,extended,non_relatives,unknown,multi_generation,three_generation
KEN,1969,IPUMS,1058,5.34,12.55,23.08,22.98,41.39,12.55,3.96,19.86,12.45,30.37,20.82,0.00,18.22,10.11
KEN,1989,IPUMS,1315,4.90,14.05,23.62,24.23,38.10,14.05,4.03,25.50,16.11,31.08,9.02,0.20,,
KEN,1993,DHS,1823,4.80,14.48,23.14,25.25,37.13,14.48,4.17,29.38,14.62,31.27,6.01,0.07,22.52,15.39
KEN,1998,DHS,1824,4.29,15.78,26.20,28.31,29.71,15.78,5.25,31.04,15.37,26.45,6.01,0.09,19.13,11.91
KEN,1999,IPUMS,1128,4.43,14.46,27.18,27.37,31.00,14.46,4.60,24.99,14.23,33.45,8.26,0.00,,
KEN,2003,DHS,1692,4.36,13.99,26.41,29.71,29.89,13.99,4.96,32.66,14.72,27.14,6.45,0.08,20.49,12.59
KEN,2009,DHS,4689,4.21,14.88,28.20,30.31,26.61,14.88,5.07,31.15,15.40,28.56,4.84,0.10,20.57,12.72
KEN,2009,IPUMS,2409,4.29,16.61,26.48,28.17,28.74,16.61,4.32,29.60,14.36,28.26,6.85,0.00,19.78,11.08
KEN,2014,DHS,5780,3.92,19.29,28.01,29.73,22.97,19.29,4.85,31.98,14.19,24.93,4.76,0.00,18.00,11.18
KEN,2015,DHS,5811,3.64,21.60,31.06,27.84,19.49,21.60,5.44,29.62,14.91,23.89,4.50,0.04,15.40,9.96
KEN,2019,IPUMS,7103,3.91,20.39,28.58,27.98,23.05,20.39,5.01,28.38,14.20,26.46,0.00,0.11,18.96,9.86
KEN,2020,DHS,7822,3.75,19.43,29.38,31.46,19.73,19.43,6.22,32.55,12.43,25.29,4.08,0.00,20.92,11.13
KEN,2022,DHS,9211,3.75,20.49,29.69,29.31,20.51,20.49,5.17,29.78,15.08,24.35,5.12,0.01,20.02,11.82
KGZ,1997,DHS,1782,4.65,8.03,24.60,34.44,32.93,8.03,6.05,44.84,7.69,32.39,1.00,0.00,37.23,24.10
KGZ,1999,IPUMS,336,4.41,9.34,27.16,34.55,28.95,9.34,6.40,45.27,9.01,28.64,1.34,0.00,32.11,17.36
KGZ,2009,IPUMS,2413,4.60,8.55,25.46,35.11,30.88,8.55,5.15,40.40,9.03,35.25,1.62,0.00,41.35,21.18
KGZ,2012,DHS,5457,4.21,8.21,30.82,36.13,24.85,8.21,6.82,34.68,8.62,41.04,0.63,0.00,41.81,26.04
KGZ,2014,MICS,5577,4.30,8.45,29.84,34.24,27.47,8.45,7.99,36.11,8.59,38.42,0.44,0.00,42.84,28.52
KGZ,2018,MICS,7582,4.05,12.34,31.31,31.38,24.97,12.34,8.63,32.52,8.33,37.85,0.33,0.00,42.04,27.52
KGZ,2023,MICS,9227,4.20,11.11,31.12,29.02,28.75,11.11,9.21,34.59,8.90,35.64,0.55,0.00,40.87,26.37
KHM,1998,IPUMS,269,5.17,2.57,22.52,33.89,41.02,2.57,3.80,49.99,12.17,29.83,1.62,0.00,25.31,12.54
KHM,2000,DHS,1825,5.37,1.87,18.06,35.59,44.48,1.87,2.30,53.66,9.32,31.38,1.36,0.12,36.79,19.64
KHM,2004,IPUMS,198,4.88,2.72,25.13,36.59,35.56,2.72,4.16,49.90,11.74,30.32,1.15,0.00,36.21,17.53
KHM,2005,DHS,1812,4.96,2.95,22.10,38.56,36.39,2.95,3.55,49.88,8.28,33.45,1.83,0.06,38.71,21.57
KHM,2008,IPUMS,2311,4.68,3.55,26.81,38.86,30.78,3.55,4.67,50.91,10.08,29.32,1.46,0.00,34.71,15.42
KHM,2010,DHS,4951,4.75,2.83,24.01,42.28,30.88,2.83,3.74,48.20,7.30,36.39,1.52,0.01,41.92,23.54
KHM,2013,IPUMS,5515,4.64,2.71,25.43,43.12,28.74,2.71,4.65,52.54,8.15,31.42,0.53,0.00,46.23,20.01
KHM,2014,DHS,5566,4.61,3.37,25.65,43.08,27.90,3.37,4.84,45.13,6.00,39.55,1.10,0.00,42.36,26.18
KHM,2019,IPUMS,7950,4.26,4.80,30.70,43.27,21.23,4.80,6.22,46.07,7.92,33.36,1.63,0.00,38.44,20.79
KHM,2021,DHS,7793,4.12,5.48,31.79,43.42,19.30,5.48,7.98,42.20,6.14,37.12,1.07,0.00,38.50,24.24
KIR,2018,MICS,7823,5.90,3.71,19.05,30.34,46.90,3.71,4.32,26.70,4.58,51.05,9.64,0.00,46.13,34.71
KOR,2005,DYB,1659,2.88,19.96,43.09,34.69,2.26,19.96,14.22,42.18,8.62,,,15.02,,
KOR,2010,DYB,4790,,23.89,45.57,28.70,1.85,23.89,15.41,37.00,9.19,,,14.51,,
KOR,2015,DYB,7114,2.53,27.23,47.59,23.70,1.48,27.23,15.60,32.18,10.78,,,14.21,,
KOR,2020,DYB,7115,2.34,31.75,48.10,19.27,0.89,31.75,16.81,29.08,9.73,,,12.62,,
LAO,1995,IPUMS,1636,6.02,1.25,14.39,30.01,54.35,1.25,2.88,47.25,5.06,41.25,2.29,0.01,,
LAO,2000,MICS,4440,5.96,0.61,13.17,33.38,52.84,0.61,2.24,50.33,4.66,40.54,0.00,1.61,39.85,26.50
LAO,2005,IPUMS,1054,5.77,1.22,15.01,34.80,48.97,1.22,2.52,49.56,4.89,0.00,0.00,0.00,,
LAO,2006,MICS,2415,5.62,0.87,15.15,37.84,46.14,0.87,2.51,52.61,4.45,39.36,0.10,0.11,43.26,30.45
LAO,2011,MICS,5062,5.17,2.09,20.33,40.00,37.58,2.09,3.56,46.96,4.33,42.64,0.41,0.02,44.05,31.39
LAO,2015,IPUMS,5981,5.30,2.30,19.44,38.59,39.67,2.30,3.65,43.55,4.85,43.56,1.22,0.87,48.13,31.53
LAO,2017,MICS,7348,4.70,3.18,24.80,42.59,29.43,3.18,5.57,45.31,5.06,40.51,0.37,0.00,43.90,29.73
LAO,2023,MICS,9224,4.44,4.05,28.31,42.49,25.15,4.05,6.67,39.94,6.32,42.74,0.26,0.01,48.13,32.10
LBR,2007,DHS,647,5.04,7.33,22.95,33.96,35.76,7.33,3.41,29.65,8.72,46.90,3.84,0.15,25.97,21.13
