iso3,year,activity,size,measure,value
SWE,2018,C15,S1T9,EMPN,261
SWE,2018,C15,S1T9,ENTR,493
SWE,2018,C15,S50T249,EMPN,0
SWE,2018,C15,S50T249,ENTR,3
SWE,2018,C15,S_GE250,EMPN,0
SWE,2018,C15,S_GE250,ENTR,0
SWE,2018,C15,_T,EMPN,788
SWE,2018,C15,_T,ENTR,508
SWE,2018,C16,S10T49,EMPN,5942
SWE,2018,C16,S10T49,ENTR,293
SWE,2018,C16,S1T9,EMPN,4516
SWE,2018,C16,S1T9,ENTR,4137
SWE,2018,C16,S50T249,EMPN,7029
SWE,2018,C16,S50T249,ENTR,65
SWE,2018,C16,S_GE250,EMPN,20513
SWE,2018,C16,S_GE250,ENTR,29
SWE,2018,C16,_T,EMPN,37999
SWE,2018,C16,_T,ENTR,4524
SWE,2018,C17,S10T49,EMPN,1320
SWE,2018,C17,S10T49,ENTR,57
SWE,2018,C17,S1T9,EMPN,253
SWE,2018,C17,S1T9,ENTR,169
SWE,2018,C17,S50T249,EMPN,2662
SWE,2018,C17,S50T249,ENTR,24
SWE,2018,C17,S_GE250,EMPN,29543
SWE,2018,C17,S_GE250,ENTR,24
SWE,2018,C17,_T,EMPN,33778
SWE,2018,C17,_T,ENTR,274
SWE,2018,C18,S10T49,EMPN,2734
SWE,2018,C18,S10T49,ENTR,143
SWE,2018,C18,S1T9,EMPN,2611
SWE,2018,C18,S1T9,ENTR,2315
SWE,2018,C18,S50T249,EMPN,3557
SWE,2018,C18,S50T249,ENTR,34
SWE,2018,C18,S_GE250,EMPN,2784
SWE,2018,C18,S_GE250,ENTR,6
SWE,2018,C18,_T,EMPN,11686
SWE,2018,C18,_T,ENTR,2498
SWE,2018,C19,S10T49,ENTR,4
SWE,2018,C19,S1T9,EMPN,11
SWE,2018,C19,S1T9,ENTR,16
SWE,2018,C19,S50T249,EMPN,444
SWE,2018,C19,S50T249,ENTR,5
SWE,2018,C19,S_GE250,EMPN,2701
SWE,2018,C19,S_GE250,ENTR,3
SWE,2018,C19,_T,EMPN,0
SWE,2018,C19,_T,ENTR,28
SWE,2018,C20,S10T49,EMPN,1807
SWE,2018,C20,S10T49,ENTR,86
SWE,2018,C20,S1T9,EMPN,763
SWE,2018,C20,S1T9,ENTR,520
SWE,2018,C20,S50T249,EMPN,6393
SWE,2018,C20,S50T249,ENTR,62
SWE,2018,C20,S_GE250,EMPN,14742
SWE,2018,C20,S_GE250,ENTR,19
SWE,2018,C20,_T,EMPN,23705
SWE,2018,C20,_T,ENTR,687
SWE,2018,C21,S10T49,EMPN,331
SWE,2018,C21,S10T49,ENTR,18
SWE,2018,C21,S1T9,EMPN,114
SWE,2018,C21,S1T9,ENTR,78
SWE,2018,C21,S50T249,EMPN,1383
SWE,2018,C21,S50T249,ENTR,9
SWE,2018,C21,S_GE250,EMPN,12201
SWE,2018,C21,S_GE250,ENTR,8
SWE,2018,C21,_T,EMPN,14029
SWE,2018,C21,_T,ENTR,113
SWE,2018,C22,S10T49,EMPN,3981
SWE,2018,C22,S10T49,ENTR,192
SWE,2018,C22,S1T9,EMPN,1572
SWE,2018,C22,S1T9,ENTR,830
SWE,2018,C22,S50T249,EMPN,7384
SWE,2018,C22,S50T249,ENTR,73
SWE,2018,C22,S_GE250,EMPN,11963
SWE,2018,C22,S_GE250,ENTR,19
SWE,2018,C22,_T,EMPN,24900
SWE,2018,C22,_T,ENTR,1114
SWE,2018,C23,S10T49,EMPN,2262
SWE,2018,C23,S10T49,ENTR,112
SWE,2018,C23,S1T9,EMPN,1332
SWE,2018,C23,S1T9,ENTR,1608
SWE,2018,C23,S50T249,EMPN,3348
SWE,2018,C23,S50T249,ENTR,34
SWE,2018,C23,S_GE250,EMPN,11765
SWE,2018,C23,S_GE250,ENTR,19
SWE,2018,C23,_T,EMPN,18707
SWE,2018,C23,_T,ENTR,1773
SWE,2018,C24,S10T49,EMPN,1623
SWE,2018,C24,S10T49,ENTR,68
SWE,2018,C24,S1T9,EMPN,297
SWE,2018,C24,S1T9,ENTR,149
SWE,2018,C24,S50T249,EMPN,4508
SWE,2018,C24,S50T249,ENTR,35
SWE,2018,C24,S_GE250,EMPN,34272
SWE,2018,C24,S_GE250,ENTR,20
SWE,2018,C24,_T,EMPN,40701
SWE,2018,C24,_T,ENTR,272
SWE,2018,C25,S10T49,EMPN,23111
SWE,2018,C25,S10T49,ENTR,1155
SWE,2018,C25,S1T9,EMPN,11868
SWE,2018,C25,S1T9,ENTR,7624
SWE,2018,C25,S50T249,EMPN,22647
SWE,2018,C25,S50T249,ENTR,231
SWE,2018,C25,S_GE250,EMPN,17445
SWE,2018,C25,S_GE250,ENTR,34
SWE,2018,C25,_T,EMPN,75071
SWE,2018,C25,_T,ENTR,9044
SWE,2018,C26,S10T49,EMPN,3260
SWE,2018,C26,S10T49,ENTR,153
SWE,2018,C26,S1T9,EMPN,1484
SWE,2018,C26,S1T9,ENTR,1130
SWE,2018,C26,S50T249,EMPN,5029
SWE,2018,C26,S50T249,ENTR,44
SWE,2018,C26,S_GE250,EMPN,6828
SWE,2018,C26,S_GE250,ENTR,17
SWE,2018,C26,_T,EMPN,16601
SWE,2018,C26,_T,ENTR,1344
SWE,2018,C27,S10T49,EMPN,2876
SWE,2018,C27,S10T49,ENTR,122
SWE,2018,C27,S1T9,EMPN,958
SWE,2018,C27,S1T9,ENTR,546
SWE,2018,C27,S50T249,EMPN,5061
SWE,2018,C27,S50T249,ENTR,43
SWE,2018,C27,S_GE250,EMPN,14035
SWE,2018,C27,S_GE250,ENTR,10
SWE,2018,C27,_T,EMPN,22930
SWE,2018,C27,_T,ENTR,721
SWE,2018,C28,S10T49,EMPN,8535
SWE,2018,C28,S10T49,ENTR,378
SWE,2018,C28,S1T9,EMPN,3147
SWE,2018,C28,S1T9,ENTR,1746
