iso3,sex,age,level,percent
AGO,M,65,4,3.85
AGO,M,65,5,0.00
AGO,M,65,6,0.00
AGO,M,65,7,0.00
AGO,M,70,0,49.94
AGO,M,70,1,23.35
AGO,M,70,2,19.59
AGO,M,70,3,4.34
AGO,M,70,4,2.54
AGO,M,70,5,0.00
AGO,M,70,6,0.00
AGO,M,70,7,0.00
AGO,M,75,0,57.86
AGO,M,75,1,22.34
AGO,M,75,2,15.28
AGO,M,75,3,2.69
AGO,M,75,4,1.68
AGO,M,75,5,0.00
AGO,M,75,6,0.00
AGO,M,75,7,0.00
AGO,M,80,0,62.04
AGO,M,80,1,20.52
AGO,M,80,2,13.62
AGO,M,80,3,2.33
AGO,M,80,4,1.40
AGO,M,80,5,0.00
AGO,M,80,6,0.00
AGO,M,80,7,0.00
AGO,M,85,0,69.07
AGO,M,85,1,18.85
AGO,M,85,2,9.74
AGO,M,85,3,1.45
AGO,M,85,4,0.84
AGO,M,85,5,0.00
AGO,M,85,6,0.00
AGO,M,85,7,0.00
AGO,M,90,0,75.14
AGO,M,90,1,16.62
AGO,M,90,2,6.84
AGO,M,90,3,0.88
AGO,M,90,4,0.50
AGO,M,90,5,0.00
AGO,M,90,6,0.00
AGO,M,90,7,0.00
AGO,M,95,0,79.91
AGO,M,95,1,14.34
AGO,M,95,2,4.87
AGO,M,95,3,0.55
AGO,M,95,4,0.30
AGO,M,95,5,0.00
AGO,M,95,6,0.00
AGO,M,95,7,0.00
AGO,M,100,0,84.06
AGO,M,100,1,12.08
AGO,M,100,2,3.34
AGO,M,100,3,0.33
AGO,M,100,4,0.18
AGO,M,100,5,0.00
AGO,M,100,6,0.00
AGO,M,100,7,0.00
ALB,F,15,0,0.29
ALB,F,15,1,0.01
ALB,F,15,2,4.16
ALB,F,15,3,59.87
ALB,F,15,4,35.57
ALB,F,15,5,0.00
ALB,F,15,6,0.00
ALB,F,15,7,0.00
ALB,F,20,0,0.50
ALB,F,20,1,0.04
ALB,F,20,2,0.34
ALB,F,20,3,22.89
ALB,F,20,4,43.30
ALB,F,20,5,0.00
ALB,F,20,6,0.00
ALB,F,20,7,0.00
ALB,F,25,0,3.06
ALB,F,25,1,0.56
ALB,F,25,2,0.54
ALB,F,25,3,26.54
ALB,F,25,4,36.54
ALB,F,25,5,0.00
ALB,F,25,6,0.00
ALB,F,25,7,0.00
ALB,F,30,0,4.10
ALB,F,30,1,0.44
ALB,F,30,2,1.86
ALB,F,30,3,33.77
ALB,F,30,4,29.76
ALB,F,30,5,0.00
ALB,F,30,6,0.00
ALB,F,30,7,0.00
ALB,F,35,0,2.55
ALB,F,35,1,0.36
ALB,F,35,2,2.23
ALB,F,35,3,50.79
ALB,F,35,4,20.18
ALB,F,35,5,0.00
ALB,F,35,6,0.00
ALB,F,35,7,0.00
ALB,F,40,0,2.02
ALB,F,40,1,0.29
ALB,F,40,2,1.81
ALB,F,40,3,52.72
ALB,F,40,4,25.93
ALB,F,40,5,0.00
ALB,F,40,6,0.00
ALB,F,40,7,0.00
ALB,F,45,0,1.55
ALB,F,45,1,0.28
ALB,F,45,2,1.35
ALB,F,45,3,45.73
ALB,F,45,4,36.26
ALB,F,45,5,0.00
ALB,F,45,6,0.00
ALB,F,45,7,0.00
ALB,F,50,0,1.34
ALB,F,50,1,0.26
ALB,F,50,2,1.64
ALB,F,50,3,48.73
ALB,F,50,4,35.95
ALB,F,50,5,0.00
ALB,F,50,6,0.00
ALB,F,50,7,0.00
ALB,F,55,0,1.41
ALB,F,55,1,0.26
ALB,F,55,2,2.32
ALB,F,55,3,50.49
ALB,F,55,4,36.75
ALB,F,55,5,0.00
ALB,F,55,6,0.00
ALB,F,55,7,0.00
ALB,F,60,0,1.58
ALB,F,60,1,0.32
ALB,F,60,2,4.83
ALB,F,60,3,48.47
ALB,F,60,4,36.69
ALB,F,60,5,0.00
ALB,F,60,6,0.00
ALB,F,60,7,0.00
ALB,F,65,0,2.14
ALB,F,65,1,0.48
ALB,F,65,2,12.68
ALB,F,65,3,43.64
ALB,F,65,4,31.83
ALB,F,65,5,0.00
ALB,F,65,6,0.00
ALB,F,65,7,0.00
ALB,F,70,0,3.77
ALB,F,70,1,0.92
ALB,F,70,2,28.21
ALB,F,70,3,40.56
ALB,F,70,4,19.38
ALB,F,70,5,0.00
ALB,F,70,6,0.00
ALB,F,70,7,0.00
ALB,F,75,0,6.92
ALB,F,75,1,1.17
ALB,F,75,2,43.95
ALB,F,75,3,31.65
ALB,F,75,4,12.65
ALB,F,75,5,0.00
ALB,F,75,6,0.00
ALB,F,75,7,0.00
ALB,F,80,0,13.82
ALB,F,80,1,1.83
ALB,F,80,2,49.21
ALB,F,80,3,23.46
ALB,F,80,4,9.38
ALB,F,80,5,0.00
