iso3,row,product,value
ARG,CPA_C16,CPA_C22,8.130
ARG,CPA_C16,CPA_C23,25.713
ARG,CPA_C16,CPA_C24,17.964
ARG,CPA_C16,CPA_C25,35.043
ARG,CPA_C16,CPA_C26,5.447
ARG,CPA_C16,CPA_C27,28.689
ARG,CPA_C16,CPA_C28,28.091
ARG,CPA_C16,CPA_C29,13.001
ARG,CPA_C16,CPA_C30,3.093
ARG,CPA_C16,CPA_C31_32,240.252
ARG,CPA_C16,CPA_C33,11.918
ARG,CPA_C16,CPA_D35,0.098
ARG,CPA_C16,CPA_E36,0.000
ARG,CPA_C16,CPA_E37-39,8.670
ARG,CPA_C16,CPA_F,789.894
ARG,CPA_C16,CPA_G45,0.023
ARG,CPA_C16,CPA_G46,641.590
ARG,CPA_C16,CPA_G47,624.031
ARG,CPA_C16,CPA_H49,0.245
ARG,CPA_C16,CPA_H50,0.000
ARG,CPA_C16,CPA_H51,0.000
ARG,CPA_C16,CPA_H52,0.000
ARG,CPA_C16,CPA_H53,0.000
ARG,CPA_C16,CPA_I,60.101
ARG,CPA_C16,CPA_J58,25.941
ARG,CPA_C16,CPA_J59_60,0.224
ARG,CPA_C16,CPA_J61,0.009
ARG,CPA_C16,CPA_J62_63,0.073
ARG,CPA_C16,CPA_K64,0.790
ARG,CPA_C16,CPA_K65,0.014
ARG,CPA_C16,CPA_K66,0.012
ARG,CPA_C16,CPA_L,63.975
ARG,CPA_C16,CPA_M69_70,1.339
ARG,CPA_C16,CPA_M71,7.908
ARG,CPA_C16,CPA_M72,0.830
ARG,CPA_C16,CPA_M73,14.035
ARG,CPA_C16,CPA_M74_75,0.212
ARG,CPA_C16,CPA_N77,11.360
ARG,CPA_C16,CPA_N78,0.103
ARG,CPA_C16,CPA_N79,0.000
ARG,CPA_C16,CPA_N80-82,2.944
ARG,CPA_C16,CPA_O84,10.939
ARG,CPA_C16,CPA_P85,1.713
ARG,CPA_C16,CPA_Q86,1.315
ARG,CPA_C16,CPA_Q87_88,0.057
ARG,CPA_C16,CPA_R90-92,0.036
ARG,CPA_C16,CPA_R93,0.299
ARG,CPA_C16,CPA_S94,0.276
ARG,CPA_C16,CPA_S95,0.026
ARG,CPA_C16,CPA_S96,0.551
ARG,CPA_C16,CPA_T,0.000
ARG,CPA_C16,CPA_U,0.000
ARG,CPA_C17,CPA_A01,14.620
ARG,CPA_C17,CPA_A02,0.739
ARG,CPA_C17,CPA_A03,16.590
ARG,CPA_C17,CPA_B,11.851
ARG,CPA_C17,CPA_C10-12,628.773
