iso3,year,activity,occupation,value,source
ARG,2020,F,4,40.1,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,F,5,37.38,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,F,7,35.67,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,F,8,36.15,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,F,9,34.11,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,F,TOTAL,35.07,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,F,X,33.18,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,G,1,47.11,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,G,2,40.69,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,G,3,40.39,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,G,4,39.87,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,G,5,41.5,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,G,7,37.99,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,G,8,40.9,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,G,9,36.12,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,G,TOTAL,40.22,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,G,X,38.89,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,H,1,39.44,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,H,2,38.16,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,H,3,40.25,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,H,4,39.22,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,H,5,45.33,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,H,7,35.54,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,H,8,43.71,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,H,9,36.79,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,H,TOTAL,41.75,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,H,X,41.36,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2020,I,1,45.96,"LFS - Encuesta Permanente de Hogares, Urbano"
