iso3,year,sex,age,disabled,total,source
AUT,2016,M,15-24,6.263,557.094,HIES - EU Statistics on Income and Living Conditions
AUT,2016,M,25-54,79.745,1761.053,HIES - EU Statistics on Income and Living Conditions
AUT,2016,M,55-64,72.482,547.951,HIES - EU Statistics on Income and Living Conditions
AUT,2016,M,GE65,129.5,674.238,HIES - EU Statistics on Income and Living Conditions
AUT,2017,F,15-24,11.601,477.315,HIES - EU Statistics on Income and Living Conditions
AUT,2017,F,25-54,101.864,1812.808,HIES - EU Statistics on Income and Living Conditions
AUT,2017,F,55-64,64.082,563.58,HIES - EU Statistics on Income and Living Conditions
AUT,2017,F,GE65,213.917,876.495,HIES - EU Statistics on Income and Living Conditions
AUT,2017,M,15-24,12.2,520.998,HIES - EU Statistics on Income and Living Conditions
AUT,2017,M,25-54,79.75,1790.125,HIES - EU Statistics on Income and Living Conditions
AUT,2017,M,55-64,71.693,566.021,HIES - EU Statistics on Income and Living Conditions
AUT,2017,M,GE65,138.57,684.54,HIES - EU Statistics on Income and Living Conditions
AUT,2018,F,15-24,12.796,410.156,HIES - EU Statistics on Income and Living Conditions
AUT,2018,F,25-54,91.885,1837.657,HIES - EU Statistics on Income and Living Conditions
AUT,2018,F,55-64,64.692,645.146,HIES - EU Statistics on Income and Living Conditions
AUT,2018,F,GE65,181.924,833.55,HIES - EU Statistics on Income and Living Conditions
AUT,2018,M,15-24,13.4,437.154,HIES - EU Statistics on Income and Living Conditions
AUT,2018,M,25-54,78.449,1850.214,HIES - EU Statistics on Income and Living Conditions
AUT,2018,M,55-64,79.99,620.635,HIES - EU Statistics on Income and Living Conditions
AUT,2018,M,GE65,128.115,648.18,HIES - EU Statistics on Income and Living Conditions
AUT,2019,F,15-24,13.992,402.711,HIES - EU Statistics on Income and Living Conditions
AUT,2019,F,25-54,96.239,1833.171,HIES - EU Statistics on Income and Living Conditions
AUT,2019,F,55-64,70.67,663.737,HIES - EU Statistics on Income and Living Conditions
AUT,2019,F,GE65,179.481,847.789,HIES - EU Statistics on Income and Living Conditions
AUT,2019,M,15-24,13.709,434.879,HIES - EU Statistics on Income and Living Conditions
AUT,2019,M,25-54,91.949,1848.887,HIES - EU Statistics on Income and Living Conditions
AUT,2019,M,55-64,70.398,640.945,HIES - EU Statistics on Income and Living Conditions
AUT,2019,M,GE65,125.528,663.504,HIES - EU Statistics on Income and Living Conditions
AUT,2020,F,15-24,6.78,411.512,HIES - EU Statistics on Income and Living Conditions
AUT,2020,F,25-54,78.965,1824.623,HIES - EU Statistics on Income and Living Conditions
AUT,2020,F,55-64,73.797,685.159,HIES - EU Statistics on Income and Living Conditions
AUT,2020,F,GE65,163.608,859.463,HIES - EU Statistics on Income and Living Conditions
AUT,2020,M,15-24,9.703,421.724,HIES - EU Statistics on Income and Living Conditions
AUT,2020,M,25-54,95.489,1843.999,HIES - EU Statistics on Income and Living Conditions
AUT,2020,M,55-64,81.151,665.291,HIES - EU Statistics on Income and Living Conditions
AUT,2020,M,GE65,121.503,675.309,HIES - EU Statistics on Income and Living Conditions
AUT,2021,F,15-24,9.613,385.821,HIES - EU Statistics on Income and Living Conditions
AUT,2021,F,25-54,74.451,1819.682,HIES - EU Statistics on Income and Living Conditions
AUT,2021,F,55-64,61.368,704.721,HIES - EU Statistics on Income and Living Conditions
AUT,2021,F,GE65,159.911,867.051,HIES - EU Statistics on Income and Living Conditions
AUT,2021,M,15-24,4.1,411.672,HIES - EU Statistics on Income and Living Conditions
AUT,2021,M,25-54,72.867,1840.596,HIES - EU Statistics on Income and Living Conditions
