iso3,year,function,sex,share,source
BMU,2017,disab,T,0.3660,ILO - Social Security Inquiry Database
BMU,2019,disab,T,0.3820,ILO - Social Security Inquiry Database
BMU,2019,pension,F,1.0000,ILO - Social Security Inquiry Database
BMU,2019,pension,M,1.0000,ILO - Social Security Inquiry Database
BMU,2019,pension,T,1.0000,ILO - Social Security Inquiry Database
BMU,2020,disab,T,0.3820,ILO - Social Security Inquiry Database
BMU,2020,pension,F,1.0000,ILO - Social Security Inquiry Database
BMU,2020,pension,M,1.0000,ILO - Social Security Inquiry Database
BMU,2020,pension,T,1.0000,ILO - Social Security Inquiry Database
BMU,2021,disab,T,0.5780,ILO - Social Security Inquiry Database
BMU,2021,pension,T,0.9280,ILO - Social Security Inquiry Database
BOL,2015,disab,T,0.0210,ILO - Social Security Inquiry Database
BOL,2015,pension,F,1.0000,ILO - Social Security Inquiry Database
BOL,2015,pension,M,1.0000,ILO - Social Security Inquiry Database
BOL,2015,pension,T,1.0000,ILO - Social Security Inquiry Database
BOL,2016,pension,F,1.0000,ILO - Social Security Inquiry Database
BOL,2016,pension,M,1.0000,ILO - Social Security Inquiry Database
BOL,2016,pension,T,1.0000,ILO - Social Security Inquiry Database
BOL,2018,disab,T,0.1050,ILO - Social Security Inquiry Database
BOL,2019,disab,T,0.1030,ILO - Social Security Inquiry Database
BOL,2019,pension,F,1.0000,ILO - Social Security Inquiry Database
BOL,2019,pension,M,1.0000,ILO - Social Security Inquiry Database
BOL,2019,pension,T,1.0000,ILO - Social Security Inquiry Database
